game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,ascension,high-round,,steam,https://youtube.com/watch?v=-OHN63MYqsQ,,solo,227,1,llOxydell,,,,0,
bo,ascension,30-speedrun,,steam,https://youtube.com/watch?v=MfeNjqZFWSU,,co-op,37:29,2,Dydoox974,llOxydell,,,0,
bo,der-riese,30-speedrun,,steam,https://youtube.com/watch?v=ivhuklPjBHo,,co-op,39:08,2,llOxydell,Dydoox974,,,0,
bo,verruckt,30-speedrun,,steam,https://youtube.com/watch?v=0NINJvyiWsQ,,co-op,40:24,2,Dydoox974,llOxydell,,,0,
bo2,farm,30-speedrun,,steam,https://youtube.com/watch?v=SPvY71f4thY,,co-op,41:19,2,Dydoox974,llOxydell,,,0,
bo,shi-no-numa,30-speedrun,,steam,https://youtube.com/watch?v=iPtElKF70pA,,co-op,43:58,2,llOxydell,Dydoox974,,,0,
bo,moon,30-speedrun,,steam,https://youtube.com/watch?v=9Arb5UkjjLs,,co-op,46:39,2,llOxydell,Dydoox974,,,0,
bo,call-of-the-dead,30-speedrun,,steam,https://youtube.com/watch?v=5rrmFHJKREY,,co-op,49:46,2,llOxydell,Dydoox974,,,0,
bo,der-riese,30-speedrun,,steam,https://youtube.com/watch?v=fwOCH4YRWmk,,co-op,54:28,3,Dydoox974,llOxydell,GLADIAMORE,,0,
bo,ascension,30-speedrun,,steam,https://youtube.com/watch?v=Zk3cJo3eERg,,co-op,56:58,3,Dydoox974,llOxydell,GLADIAMORE,,0,
bo,kino-der-toten,30-speedrun,,steam,https://youtube.com/watch?v=exGSyXUCgCY,,co-op,58:10,3,llOxydell,Dydoox974,GLADIAMORE,,0,
bo,five,30-speedrun,,steam,https://youtube.com/watch?v=fWsWs4tLy-Y,,co-op,58:34,3,Dydoox974,llOxydell,GLADIAMORE,,0,
bo,five,30-speedrun,,steam,http://twitch.tv/videos/76941795,,co-op,1:00:15,3,llOxydell,SESH,Dydoox974,,0,
bo,verruckt,30-speedrun,,steam,https://youtube.com/watch?v=D3bJn47G8_g,,co-op,1:02:26,3,Dydoox974,llOxydell,GLADIAMORE,,0,
bo,shangri-la,30-speedrun,,steam,https://youtube.com/watch?v=6oK3YZhQyus,,co-op,1:04:34,3,llOxydell,Dydoox974,GLADIAMORE,,0,
bo,call-of-the-dead,50-speedrun,,steam,https://youtube.com/watch?v=1j_hnd_F0Gk,,co-op,2:27:26,2,llOxydell,GLADIAMORE,,,0,
